id,name,contnet,image1_path,image2_path,image3_path
1,蔓出卷柏,拉丁名：Selaginella davidii Franch.
科：卷柏科（Selaginellaceae）
多年生草本，淡绿色。茎略呈四棱形，匍匐，随处生根，分枝腹背扁平。背腹各二列，腹叶（中叶）指向枝顶，长卵形，锐尖头或渐尖头，背叶（侧叶）水平开展与分枝成直角，长圆状斜卵形或卵形，常内卷，基部为不明显心形，先端钝或微斜尖，边缘有狭白边及微细锯齿；腹叶较小，贴生于分枝，卵状披针形或卵形，基部斜形有耳，先端具长刚毛，边缘有狭白边及微细锯齿。小穗无柄生于分枝先端，稍呈圆锥形；孢子叶卵状披针形，先端长尾状渐尖，边缘具微细锯齿，背面有锐龙骨突起。
分布及生境: 生于阴坡灌草丛中。,image/001卷柏科_蔓出卷柏/1.jpg,image/001卷柏科_蔓出卷柏/2.jpg,
